ts,temp_dht,pm1,pm25,pm10
2026-03-27 23:00:00,28.0,6.5,7.0,7.3
2026-03-28 14:00:00,29.7,5.1,6.1,6.4
2026-03-28 20:10:00,31.6,5.2,8.6,10.5
2026-03-28 20:20:00,30.666666666666668,10.0,15.11111111111111,17.444444444444443
2026-03-28 20:30:00,30.22222222222222,8.666666666666666,14.11111111111111,15.444444444444445
2026-03-28 20:40:00,29.9,8.8,13.5,15.1
2026-03-28 20:50:00,28.555555555555557,7.666666666666667,12.555555555555555,14.222222222222221
2026-03-28 21:00:00,27.88888888888889,7.444444444444445,11.777777777777779,13.0
2026-03-28 21:10:00,27.0,10.9,14.6,16.7
2026-03-28 21:20:00,27.0,15.444444444444445,19.666666666666668,21.666666666666668
2026-03-28 21:30:00,26.22222222222222,17.77777777777778,21.22222222222222,22.666666666666668
2026-03-28 22:20:00,27.0,5.333333333333333,8.11111111111111,9.88888888888889
2026-03-28 22:30:00,27.0,4.111111111111111,6.888888888888889,7.111111111111111
2026-03-28 22:40:00,27.0,13.0,16.3,17.8
2026-03-28 22:50:00,27.0,6.777777777777778,9.555555555555555,10.777777777777779
2026-03-28 23:00:00,26.555555555555557,6.0,8.777777777777779,10.11111111111111
2026-03-28 23:10:00,26.7,9.3,12.1,14.5
2026-03-28 23:20:00,27.22222222222222,8.222222222222221,13.0,14.0
2026-03-28 23:30:00,27.0,10.444444444444445,14.444444444444445,15.222222222222221
2026-03-28 23:40:00,27.0,3.9,7.5,8.6
2026-03-28 23:50:00,27.0,3.7777777777777777,7.111111111111111,8.222222222222221
2026-03-29 00:00:00,26.666666666666668,3.111111111111111,6.444444444444445,7.222222222222222
2026-03-29 00:10:00,26.1,4.3,7.0,8.2
2026-03-29 00:20:00,26.77777777777778,10.555555555555555,13.666666666666666,15.333333333333334
2026-03-29 00:30:00,26.444444444444443,4.666666666666667,7.111111111111111,8.777777777777779
2026-03-29 00:40:00,25.9,4.5,7.7,9.6
2026-03-29 00:50:00,25.0,6.0,9.444444444444445,11.666666666666666
2026-03-29 01:00:00,25.0,7.0,10.555555555555555,12.0
2026-03-29 01:10:00,25.1,13.9,18.6,21.2
2026-03-29 01:20:00,26.333333333333332,4.666666666666667,7.0,9.333333333333334
2026-03-29 01:30:00,27.0,4.222222222222222,7.555555555555555,8.555555555555555
2026-03-29 01:40:00,27.4,5.1,7.8,9.9
2026-03-29 01:50:00,28.0,5.666666666666667,8.333333333333334,9.777777777777779
2026-03-29 02:00:00,28.0,3.4444444444444446,7.0,7.666666666666667
2026-03-29 02:10:00,28.0,4.5,7.9,9.3
2026-03-29 02:20:00,28.444444444444443,5.222222222222222,8.666666666666666,10.444444444444445
2026-03-29 02:30:00,29.0,5.444444444444445,8.666666666666666,10.333333333333334
2026-03-29 02:40:00,29.0,4.6,7.9,11.3
2026-03-29 02:50:00,29.0,5.777777777777778,10.222222222222221,11.777777777777779
2026-03-29 03:00:00,29.0,5.777777777777778,9.11111111111111,9.88888888888889
2026-03-29 03:10:00,29.0,6.0,9.4,11.3
2026-03-29 03:20:00,29.0,5.111111111111111,8.0,10.555555555555555
2026-03-29 03:30:00,29.0,6.0,11.222222222222221,12.555555555555555
2026-03-29 03:40:00,29.1,5.7,10.9,12.7
2026-03-29 03:50:00,30.0,5.555555555555555,9.444444444444445,11.0
2026-03-29 04:00:00,30.0,6.111111111111111,11.0,12.222222222222221
