timestamp,temp_indoor,pm1_indoor,pm25_indoor,pm10_indoor,temp_outdoor,pm1_outdoor,pm25_outdoor,pm10_outdoor,aqi,humid,rainfall,temp,windspeed
2026-03-29 03:10:00,29.0,6.0,9.4,11.3,28.0,13.1,23.6,24.9,88,82,0,28.0,3.5
2026-03-29 03:20:00,29.0,5.111111111111111,8.0,10.555555555555555,28.0,13.6,24.9,25.8,88,76,0,27.7,3.5
2026-03-29 03:30:00,29.0,6.0,11.22222222222222,12.555555555555555,28.0,10.7,18.5,19.1,84,77,0,28.6,3.1
2026-03-29 03:40:00,29.1,5.7,10.9,12.7,28.0,13.2,27.2,28.0,93,75,0,27.6,2.6
2026-03-29 03:50:00,30.0,5.555555555555555,9.444444444444445,11.0,28.0,14.4,22.6,22.8,89,78,0,27.5,2.1
2026-03-29 04:00:00,30.0,6.111111111111111,11.0,12.22222222222222,28.0,12.5,20.3,20.7,83,80,0,27.1,2.4
2026-03-29 04:10:00,30.0,6.4,10.8,12.8,28.0,8.3,13.8,14.1,88,81,0,28.0,3.6
2026-03-29 04:20:00,30.0,6.666666666666667,11.11111111111111,13.77777777777778,28.0,12.2,21.0,21.2,84,80,0,27.2,3.0
2026-03-29 04:30:00,30.0,6.777777777777778,10.88888888888889,12.11111111111111,28.0,11.9,22.2,22.7,85,76,0,27.5,2.3
2026-03-29 04:40:00,30.0,6.9,11.8,13.5,28.0,11.9,22.7,23.7,92,83,0,27.5,2.4
2026-03-29 04:50:00,30.0,6.888888888888889,12.555555555555555,14.333333333333334,28.0,5.4,10.7,11.0,91,80,0,27.1,2.9
2026-03-29 05:00:00,30.0,6.444444444444445,11.666666666666666,13.333333333333334,28.0,12.8,21.0,22.5,83,77,0,28.8,3.5
2026-03-29 05:10:00,30.0,6.9,11.7,13.2,28.0,12.4,23.6,23.8,93,81,0,27.1,2.6
2026-03-29 05:20:00,30.0,7.0,12.0,12.88888888888889,28.0,10.5,18.9,20.1,90,85,0,27.7,2.5
